uri	all	long	error_rate	long_tokens_error_rate	tok_count
0179MalikIbnAnas.Muwatta.Shamela0001699-ara1.completed	1164	58	0.007946748591909882	0.00039597200887523466	146475
0179MalikIbnAnas.Muwatta.Shamela0008140-ara1.completed	1453	93	0.00934976352112223	0.0005984363437469837	155405
0179MalikIbnAnas.Muwatta.Shamela0016050-ara1.completed	578	35	0.009110540169916304	0.0005516763078669041	63443
0179MalikIbnAnas.Muwatta.Shamela0028107-ara1.completed	3445	341	0.014420682062680781	0.0014274172956093313	238893
0179MalikIbnAnas.Muwatta.Shia000901Vols-ara1	3754	135	0.017582314645684043	0.0006322888857664747	213510
0179MalikIbnAnas.RisalaIlaHarun.ShamAY0034816-ara1	46	2	0.0060790273556231	0.0002643055372010044	7567
0180AbuShamaqmaq.Diwan.JK007542-ara1	123	1	0.057103064066852366	0.00046425255338904364	2154
0180AbuShamaqmaq.Diwan.ShamAY0037964-ara1	123	1	0.05715613382899628	0.00046468401486988845	2152
0180IbnJacfarAnsari.HadithIsmacil.JK011499-ara1	284	14	0.010901692833288549	0.0005374073931902806	26051
0180IbnJacfarAnsari.HadithIsmacil.Shamela0021544-ara1	231	14	0.009113145021303455	0.0005523118194729368	25348
0180Sibawayh.KitabSibawayh.JK006989-ara1	10720	141	0.038494408974368184	0.0005063163866964471	278482
0180Sibawayh.KitabSibawayh.Shamela0023018-ara1.completed	10696	160	0.03849877801653547	0.0005758979508831035	277827
